,Fall 12,Fall 15,Nov 17,Fall 09,Spr 99,Updated,Format,Dec 17,Fall 04,Fall 05,Spr 06,Hol 17,Fall 11,Fall 07,Mar 18,Spr 09,Population,Spr 05,Spr 17,Fall 99,Spr 13,Spr 16,Station URL,Spr 15,Spr 04,Black,Fall 13,Feb 18,Fall 10,Fall 01,Spr 14,Fall 03,State,Spr 01,Sum 17,Win 18,Win 04,Fall 06,Rank,Win 17,Spr 10,Sum 04,Fall 08,Jan 18,Spr 08,Fall 16,Hispanic,Owner,Spr 12,Spr 11,Spr 02,Spr 07,Fall 17,Fall 00,Fall 14,Station,Market Name,Twitter Handles,Followers Count,Friends Count,Listed Count,Created At,Favourites Count,Verified,Statuses Count
520,,,,,,5-01-2018,Country,,,,,,,,,,668300,,3.5,,,,http://wezl.iheart.com/,,,171800,,,,,,,SC,,4.1,4.1,,,78,,,,,,,,32200,iHeartMedia,,,,,5.1,,,WEZL-FM,Charleston,['1035wezl'],4675,409,93,2009-04-15 19:51:49,1012,True,22188
521,,,,,,5-01-2018,Classic Rock,,,,,,,,,,668300,,4.3,,,,http://q1045.iheart.com/,,,171800,,,,,,,SC,,4.5,3.7,,,78,,,,,,,,32200,iHeartMedia,,,,,4,,,WRFQ-FM,Charleston,['Q_1045'],1285,115,41,2009-04-14 19:55:03,48,True,12050
522,,,,,,5-01-2018,Active Rock,,,,,,,,,,668300,,2.4,,,,http://www.my98rock.com/,,,171800,,,,,,,SC,,2.5,3.4,,,78,,,,,,,,32200,LM Communications,,,,,2.9,,,WYBB-FM,Charleston,['my98rock'],2750,2488,55,2009-02-17 20:31:53,691,False,3603
523,,,,,,5-01-2018,Top 40/M,,,,,,,,,,668300,,2.9,,,,http://mix96live.com/,,,171800,,,,,,,SC,,3.2,3,,,78,,,,,,,,32200,Saga,,,,,3.4,,,WMXZ-FM,Charleston,['mix96live'],2,0,0,2017-08-10 06:15:33,1,False,2
524,,,,,,5-01-2018,Country,,,,,,,,,,668300,,2.5,,,,http://kickin925.com/,,,171800,,,,,,,SC,,3.1,2.8,,,78,,,,,,,,32200,Saga,,,,,3.1,,,WCKN-FM,Charleston,['kickin925fm'],1866,1405,25,2012-10-16 19:43:52,763,False,12068
525,,,,,,5-01-2018,Urban,,,,,,,,,,668300,,2.2,,,,http://www.993thebox.com/,,,171800,,,,,,,SC,,3.1,2.8,,,78,,,,,,,,32200,Saga,,,,,2.7,,,WMXZ-FM HD2,Charleston,['993TheBOX'],1393,1862,7,2013-03-22 22:10:39,4,False,1724
526,,,,,,5-01-2018,AAA,,,,,,,,,,668300,,2.4,,,,http://www.1055thebridge.com/,,,171800,,,,,,,SC,,2,2.7,,,78,,,,,,,,32200,LM Communications,,,,,1.6,,,WCOO-FM,Charleston,['TheBridgeat1055'],6481,3240,92,2009-02-17 22:27:57,2078,False,5408
527,,,,,,5-01-2018,Gospel,,,,,,,,,,668300,,--,,,,,,,171800,,,,,,,SC,,0.6,1.1,,,78,,,,,,,,32200,Saga,,,,,--,,,WSPO-AM,Charleston,[None],,,,,,,
528,,10.4,,,,1-25-2017,Rock,,,,,,,,,,208200,,10.1,,,6.7,http://www.wklc.com/,,,14100,,,,,,,WV,,,,,,196,,,,,,,10,2300,LM Communications,,,,,8.9,,,WKLC-FM,Charleston,['WKLC'],707,160,14,2009-06-17 16:03:57,349,False,7429
529,,7.5,,,,1-25-2017,Classic Hits,,,,,,,,,,208200,,4.6,,,7.6,http://www.wmxe.net/,,,14100,,,,,,,WV,,,,,,196,,,,,,,4.4,2300,LM Communications,,,,,5.2,,,WMXE-FM,Charleston,['wmxe1009themix?lang=en'],,,,,,,
